nct_id,brief_title,official_title,overall_status,start_date,completion_date,last_update,study_type,phase,enrollment,enrollment_type,allocation,intervention_model,primary_purpose,masking,condition,intervention_name,intervention_type,primary_outcome_count,secondary_outcome_count,min_age,max_age,sex,healthy_volunteers,lead_sponsor_name,lead_sponsor_class,collaborator_count,location_count,countries,trial_success,is_phase1,is_phase2,is_phase3,is_phase4,is_combined_phase,phase_numeric,is_oncology,is_autoimmune,is_cns,is_cardiovascular,condition_count,log_enrollment,enrollment_size,is_small_trial,is_actual_enrollment,is_industry_sponsor,is_academic_sponsor,is_big_pharma,has_collaborators,is_multisite,is_international,is_us_trial,is_europe_trial,is_randomized,is_blinded,is_treatment_purpose,is_parallel,total_outcome_count,has_secondary_outcomes,is_drug,is_biological,is_device,intervention_count,has_multiple_interventions,start_date_dt,completion_date_dt,study_duration_days,start_year,is_recent_trial,complexity_score,is_complex_trial
NCT02137239,Regimen Optimization Study,"Evaluation of Acute Rejection Rates in de Novo Renal Transplant Recipients Following Thymoglobulin Induction, CNI-free, Nulojix (Belatacept)-Based Immunosuppression",COMPLETED,2015-12-31,2019-05-02,2021-06-22,INTERVENTIONAL,PHASE2,58.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Kidney Transplantation,Thymoglobulin|Belatacept|mycophenolate mofetil(MMF)|Corticosteroids|Everolimus(EVL)|Tacrolimus(TAC),DRUG,1,27,18 Years,75 Years,ALL,False,Bristol-Myers Squibb,INDUSTRY,0,20,Argentina|United States,1.0,0,1,0,0,0,2.0,0,0,0,0,1,4.07753744390572,medium,1,1,1,0,1,0,1,1,1,0,1,0,1,1,28,1,1,0,0,6,1,2015-12-31,2019-05-02,1218.0,2015.0,1,3,1
NCT04427072,Study of Capmatinib Efficacy in Comparison With Docetaxel in Previously Treated Participants With Non-small Cell Lung Cancer Harboring MET Exon 14 Skipping Mutation,"A Phase III, Randomized, Controlled, Open-label, Multicenter, Global Study of Capmatinib Versus SoC Docetaxel Chemotherapy in Previously Treated Patients With EGFR wt, ALK Negative, Locally Advanced or Metastatic (Stage IIIB/IIIC or IV) NSCLC Harboring MET Exon 14 Skipping Mutation (METΔex14).",TERMINATED,2020-09-25,2023-11-06,2025-05-16,INTERVENTIONAL,PHASE3,22.0,ACTUAL,RANDOMIZED,CROSSOVER,TREATMENT,NONE,"Carcinoma, Non-Small-Cell Lung",Capmatinib|Docetaxel,DRUG,1,20,18 Years,100 Years,ALL,False,Novartis Pharmaceuticals,INDUSTRY,0,43,Russia|Malaysia|Bulgaria|Hungary|Brazil|Vietnam|Portugal|South Korea|Lithuania|Thailand|France|South Africa|Spain|Germany|Netherlands|Belgium|Italy|India,0.0,0,0,1,0,0,3.0,1,0,0,0,1,3.1354942159291497,small,1,1,1,0,1,0,1,1,0,1,1,0,1,0,21,1,1,0,0,2,1,2020-09-25,2023-11-06,1137.0,2020.0,1,3,1
NCT02593175,Women's MoonShot: Neoadjuvant Treatment With PaCT for Patients With Locally Advanced TNBC,"Women's Triple-Negative First-Line Study: A Phase II Trial of Panitumumab, Carboplatin and Paclitaxel (PaCT) in Patients With Localized Triple-Negative Breast Cancer (TNBC) With Tumors Predicted Insensitive to Standard Neoadjuvant Chemotherapy",COMPLETED,2016-11-03,2025-04-03,2025-11-06,INTERVENTIONAL,PHASE2,43.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Stage I Breast Cancer AJCC v7|Stage IA Breast Cancer AJCC v7|Stage IB Breast Cancer AJCC v7|Stage II Breast Cancer AJCC v6 and v7|Stage IIA Breast Cancer AJCC v6 and v7|Stage IIB Breast Cancer AJCC v6 and v7|Stage III Breast Cancer AJCC v7|Stage IIIA Breast Cancer AJCC v7|Stage IIIB Breast Cancer AJCC v7|Stage IIIC Breast Cancer AJCC v7|Triple-Negative Breast Carcinoma,Carboplatin|Paclitaxel|Panitumumab,DRUG|BIOLOGICAL,1,0,18 Years,,ALL,False,M.D. Anderson Cancer Center,OTHER,0,1,United States,1.0,0,1,0,0,0,2.0,1,0,0,0,11,3.784189633918261,small,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,3,1,2016-11-03,2025-04-03,3073.0,2016.0,1,2,0
NCT03019575,Efficacy and Safety of Corifollitropin Alfa (MK-8962) in Combination With Human Chorionic Gonadotropin (hCG) in Adolescent Males With Hypogonadotropic Hypogonadism (HH) (MK-8962-043),"A Phase III, Multi-Center, Open Label, Single-Group Trial to Investigate the Efficacy and Safety of MK-8962 (Corifollitropin Alfa) in Combination With Human Chorionic Gonadotropin (hCG) for Initiation or Restoration of Puberty as Assessed by Increased Testicular Volume in Adolescent Males 14 to <18 Years Old With Hypogonadotropic Hypogonadism (MK-8962-043)",COMPLETED,2017-02-02,2020-05-05,2024-05-23,INTERVENTIONAL,PHASE3,17.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Hypogonadotropic Hypogonadism,Corifollitropin alfa|hCG,DRUG,4,13,14 Years,17 Years,MALE,False,Organon and Co,INDUSTRY,0,15,Russia|Denmark|Brazil|South Africa|Mexico|Italy,1.0,0,0,1,0,0,3.0,0,0,0,0,1,2.8903717578961645,small,1,1,1,0,0,0,1,1,0,1,0,0,1,0,17,1,1,0,0,2,1,2017-02-02,2020-05-05,1188.0,2017.0,1,3,1
NCT04779957,Evaluation of the Safety of Use of Anti-IL6 Receptor Antibodies to Reduce Allo-sensitization Post Allograft Nephrectomy,Evaluation of the Safety of Use of Anti-IL6 Receptor Antibodies to Reduce Allo-sensitization Post Allograft Nephrectomy ; a Pilot Phase II Study.,COMPLETED,2021-10-01,2024-08-09,2025-12-31,INTERVENTIONAL,PHASE2,18.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Kidney Transplantation|Graft Failure,Tocilizumab,DRUG,1,2,18 Years,,ALL,False,"University Hospital, Toulouse",OTHER,0,1,France,1.0,0,1,0,0,0,2.0,0,0,0,0,2,2.9444389791664403,small,1,1,0,1,0,0,0,0,0,1,0,0,1,0,3,1,1,0,0,1,0,2021-10-01,2024-08-09,1043.0,2021.0,1,1,0
NCT02465801,Study of Recombinant Human Serum Albumin/Granulocyte Colony-Stimulating Factor Fusion Protein,Efficacy and Safety Phase II Study of Recombinant Human Serum Albumin/Granulocyte Colony-Stimulating Factor Fusion Protein for Injection to Prevent Neutrophilic Granulocytopenia Among Chemotherapy Patients,COMPLETED,2014-12-16,2016-04-26,2017-07-18,INTERVENTIONAL,PHASE2,216.0,ACTUAL,RANDOMIZED,PARALLEL,PREVENTION,NONE,Chemotherapy-induced Neutropenia,HSA-GCSF 1.2 mg|HSA-GCSF 1.5 mg|GCSF,DRUG,1,5,18 Years,65 Years,FEMALE,False,Tianjin SinoBiotech Ltd.,INDUSTRY,0,1,China,1.0,0,1,0,0,0,2.0,0,0,0,0,1,5.37989735354046,large,0,1,1,0,0,0,0,0,0,0,1,0,0,1,6,1,1,0,0,3,1,2014-12-16,2016-04-26,497.0,2014.0,0,2,0
NCT03802201,Study of PTG-300 in Non-Transfusion Dependent and Transfusion-Dependent Beta-Thalassemia Subjects With Chronic Anemia,A Phase 2 Study of PTG-300 in Non-Transfusion Dependent (NTD) and Transfusion-Dependent (TD) β-Thalassemia Subjects With Chronic Anemia,COMPLETED,2018-12-19,2020-07-31,2021-07-16,INTERVENTIONAL,PHASE2,63.0,ACTUAL,,SEQUENTIAL,TREATMENT,NONE,β-thalassemia|Ineffective Erythropoiesis|Chronic Anemia,PTG-300,DRUG,2,0,12 Years,65 Years,ALL,False,"Protagonist Therapeutics, Inc.",INDUSTRY,0,33,United Kingdom|Turkey (Türkiye)|Malaysia|United States|Thailand|Lebanon|Greece|Tunisia|Italy,1.0,0,1,0,0,0,2.0,0,0,0,0,3,4.1588830833596715,medium,1,1,1,0,0,0,1,1,1,1,0,0,1,0,2,0,1,0,0,1,0,2018-12-19,2020-07-31,590.0,2018.0,1,2,0
NCT00316212,Study of INS50589 Intravenous Infusion in Subjects Undergoing Coronary Artery Bypass Grafting (CABG) Involving Cardiopulmonary Bypass,"Randomized, Multicenter, Placebo-Controlled, Double-Blind, Parallel Group Study of INS50589 Intravenous Infusion in Subjects Undergoing Coronary Artery Bypass Graft Surgery Involving Cardiopulmonary Bypass",TERMINATED,2006-04,,2016-11-18,INTERVENTIONAL,PHASE2,160.0,,RANDOMIZED,PARALLEL,PREVENTION,DOUBLE,Coronary Disease,INS50589 Intravenous Infusion,DRUG,1,2,18 Years,75 Years,ALL,,Merck Sharp & Dohme LLC,INDUSTRY,0,27,United States,0.0,0,1,0,0,0,2.0,0,0,0,0,1,5.081404364984463,medium,0,0,1,0,1,0,1,0,1,0,1,1,0,1,3,1,1,0,0,1,0,,,,,0,0,0
NCT03401112,A Study of IMR-687 in Adult Participants With Sickle Cell Anemia (Homozygous HbSS or Sickle-β0 Thalassemia),"A Phase 2a, Randomised, Double-Blind, Placebo-Controlled Study of IMR-687 in Adult Patients With Sickle Cell Anaemia (Homozygous HbSS or Sickle-β0 Thalassemia)",COMPLETED,2018-01-26,2020-08-28,2025-05-15,INTERVENTIONAL,PHASE2,100.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Sickle Cell Disease,IMR-687|Placebo,DRUG,1,6,18 Years,55 Years,ALL,False,"Cardurion Pharmaceuticals, Inc.",INDUSTRY,1,13,United Kingdom|United States,1.0,0,1,0,0,0,2.0,0,0,0,0,1,4.61512051684126,medium,0,1,1,0,0,1,1,1,1,1,1,1,1,1,7,1,1,0,0,2,1,2018-01-26,2020-08-28,945.0,2018.0,1,3,1
NCT01511081,Stereotactic Body Radiotherapy (SBRT) Versus Stereotactic Body Proton Therapy (SBPT),"Randomized Phase II Study Comparing Stereotactic Body Radiotherapy (SBRT) With Stereotactic Body Proton Therapy (SBPT) for Centrally Located Stage I, Selected Stage II and Recurrent Non-Small Cell Lung Cancer",TERMINATED,2012-08,2016-10,2017-12-07,INTERVENTIONAL,PHASE2,21.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,SINGLE,Non-small-cell Lung Cancer,SBRT (stereotactic body radiotherapy)|SBPT (stereotactic body proton therapy),RADIATION,1,1,18 Years,,ALL,False,M.D. Anderson Cancer Center,OTHER,2,1,United States,0.0,0,1,0,0,0,2.0,1,0,0,0,1,3.091042453358316,small,1,1,0,1,0,1,0,0,1,0,1,0,1,1,2,1,0,0,0,2,1,,,,,0,1,0
